winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
Alion,Ribera del Duero,2013,4.5,7435,Espana,Ribera del Duero,73.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2014,4.5,7237,Espana,Ribera del Duero,56.27,Ribera Del Duero Red,5.0,3.0
Pintia,Toro,2014,4.5,5863,Espana,Toro,69.0,Toro Red,5.0,3.0
Pago de Carraovejas,Tinto,2018,4.5,5372,Espana,Ribera del Duero,45.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2015,4.5,5365,Espana,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0
Pintia,Toro,2015,4.5,4979,Espana,Toro,69.8,Toro Red,5.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2016,4.5,4411,Espana,Ribera del Duero,78.65,Ribera Del Duero Red,5.0,3.0
Pintia,Toro,2016,4.5,3118,Espana,Toro,40.41,Toro Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2016,4.5,2887,Espana,Ribera del Duero,101.94,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,Clio,2015,4.5,2712,Espana,Jumilla,33.2,Red,4.0,3.0
Bodegas El Nido,Clio,2017,4.5,2220,Espana,Jumilla,39.5,Red,4.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2011,4.5,2207,Espana,Ribera del Duero,64.0,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Tinto,2019,4.5,2144,Espana,Ribera del Duero,33.8,Ribera Del Duero Red,5.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2014,4.5,1910,Espana,Rioja,58.95,Rioja Red,4.0,3.0
Aalto,Tinto,2018,4.5,1864,Espana,Ribera del Duero,33.25,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,Clio,2018,4.5,1520,Espana,Jumilla,61.8491765262698,Red,4.0,3.0
Alto Moncayo,Garnacha,2017,4.5,1503,Espana,Campo de Borja,44.27,Grenache,5.0,3.0
Pago de Los Capellanes,Parcela El Nogal Tinto,2015,4.5,1393,Espana,Ribera del Duero,45.9,Ribera Del Duero Red,5.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2015,4.5,1345,Espana,Rioja,68.9,Rioja Red,4.0,3.0
Pago de Los Capellanes,Parcela El Nogal Tinto,2014,4.5,1163,Espana,Ribera del Duero,40.95,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Reserva,2014,4.5,1148,Espana,Ribera del Duero,69.5803235920536,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2017,4.5,1094,Espana,Ribera del Duero,110.0,Ribera Del Duero Red,5.0,3.0
Remirez de Ganuza,Rioja Reserva,2012,4.5,1089,Espana,Rioja,49.75,Rioja Red,4.0,3.0
Muga,Prado Enea Gran Reserva,2014,4.5,1014,Espana,Rioja,51.0,Rioja Red,4.0,3.0
Remirez de Ganuza,Rioja Reserva,2011,4.5,1012,Espana,Rioja,59.9,Rioja Red,4.0,3.0
Muga,Torre Muga,2016,4.5,838,Espana,Rioja,70.5,Rioja Red,4.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2016,4.5,813,Espana,Rioja,64.0,Rioja Red,4.0,3.0
Clos Mogador,Priorat,2017,4.5,666,Espana,Priorato,65.0,Priorat Red,4.0,3.0
Marques de Murrieta,Dalmau Rioja,2014,4.5,642,Espana,Rioja,67.6,Rioja Red,4.0,3.0
Hacienda Monasterio,Reserva,2015,4.5,629,Espana,Ribera del Duero,53.95,Ribera Del Duero Red,5.0,3.0
Pago de Los Capellanes,Parcela El Nogal Tinto,2016,4.5,595,Espana,Ribera del Duero,42.95,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,Clio,2019,4.5,550,Espana,Jumilla,47.3,Red,4.0,3.0
Senorio de San Vicente,San Vicente Rioja,2017,4.5,505,Espana,Rioja,34.8,Rioja Red,4.0,3.0
Carmelo Rodero,Ribera del Duero TSM,2017,4.5,503,Espana,Ribera del Duero,55.35,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Pago de Santa Cruz,2016,4.5,501,Espana,Ribera del Duero,75.95,Ribera Del Duero Red,5.0,3.0
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2011,4.5,500,Espana,Ribera del Duero,48.7,Ribera Del Duero Red,5.0,3.0
Costers del Siurana,Clos de L'Obac,2005,4.5,493,Espana,Priorato,92.8716274104906,Priorat Red,4.0,3.0
Francisco Barona,Ribera Del Duero,2018,4.5,462,Espana,Ribera del Duero,35.85,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Pago de Santa Cruz,2015,4.5,420,Espana,Ribera del Duero,82.95,Ribera Del Duero Red,5.0,3.0
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2012,4.5,406,Espana,Ribera del Duero,59.0,Ribera Del Duero Red,5.0,3.0
Juan Gil,Bruto,2018,4.5,384,Espana,Jumilla,37.7,Monastrell,5.0,3.0
Lan,Culmen Reserva Rioja,2015,4.5,365,Espana,Rioja,42.75,Rioja Red,4.0,3.0
Clos Mogador,Priorat,2018,4.5,336,Espana,Priorato,61.64,Priorat Red,4.0,3.0
Hacienda Monasterio,Reserva,2016,4.5,297,Espana,Ribera del Duero,55.95,Ribera Del Duero Red,5.0,3.0
Abadia Retuerta,Petit Verdot,2015,4.5,286,Espana,Sardon de Duero,107.9,Red,4.0,3.0
Tomas Postigo,5o Ano Ribera del Duero Tinto,2011,4.5,264,Espana,Ribera del Duero,69.9,Ribera Del Duero Red,5.0,3.0
Dominio del Bendito,El Titan del Bendito,2017,4.5,261,Espana,Toro,49.5,Toro Red,5.0,3.0
Sierra Cantabria,Amancio,2012,4.5,246,Espana,Rioja,90.0,Rioja Red,4.0,3.0
Martinet,Clos Martinet,2014,4.5,230,Espana,Priorato,65.0,Priorat Red,4.0,3.0
Remirez de Ganuza,Trasnocho,2006,4.5,229,Espana,Rioja,95.0,Rioja Red,4.0,3.0
Adama Wines,Tinto,2009,4.5,229,Espana,Ribera del Duero,39.0,Ribera Del Duero Red,5.0,3.0
Milsetentayseis,Tinto,2018,4.5,218,Espana,Ribera del Duero,52.9,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Pago de Santa Cruz,2017,4.5,217,Espana,Ribera del Duero,40.9,Ribera Del Duero Red,5.0,3.0
Tinto Pesquera,Millenium Gran Reserva,2015,4.5,213,Espana,Ribera del Duero,77.5,Ribera Del Duero Red,5.0,3.0
Alvaro Palacios,Finca Dofi,2006,4.5,207,Espana,Priorato,75.0,Priorat Red,4.0,3.0
Arzuaga,Gran Reserva Ribera del Duero,2015,4.5,205,Espana,Ribera del Duero,80.98,Ribera Del Duero Red,5.0,3.0
Contino,Vina del Olivo,2017,4.5,203,Espana,Rioja,64.5,Rioja Red,4.0,3.0
Ferrer Bobet,Seleccio Especial Vinyes Velles,2015,4.5,197,Espana,Priorato,64.0,Priorat Red,4.0,3.0
Clos Mogador,Priorat,2003,4.5,196,Espana,Priorato,95.0,Priorat Red,4.0,3.0
Matarromera,Ribera del Duero Prestigio,2015,4.5,190,Espana,Ribera del Duero,54.01,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Regina Vides Ribera del Duero,2014,4.5,189,Espana,Ribera del Duero,104.9,Ribera Del Duero Red,5.0,3.0
Arzuaga,Reserva Especial Ribera del Duero,2015,4.5,187,Espana,Ribera del Duero,51.5,Ribera Del Duero Red,5.0,3.0
Abadia Retuerta,Pago Garduna,2016,4.5,186,Espana,Castilla y Leon,71.85,Syrah,4.0,3.0
Pintia,Toro,2017,4.5,178,Espana,Toro,54.09,Toro Red,5.0,3.0
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2017,4.5,174,Espana,Rioja,67.9,Rioja Red,4.0,3.0
Sierra Cantabria,Finca el Bosque,2016,4.5,173,Espana,Rioja,80.95,Rioja Red,4.0,3.0
Tomas Postigo,5o Ano Ribera del Duero Tinto,2014,4.5,165,Espana,Ribera del Duero,57.96,Ribera Del Duero Red,5.0,3.0
Marques de Riscal,Baron de Chirel Rioja Reserva,2016,4.5,163,Espana,Rioja,73.62,Rioja Red,4.0,3.0
Sierra Cantabria,Amancio,2015,4.5,156,Espana,Rioja,89.95,Rioja Red,4.0,3.0
Vina Sastre,Regina Vides Ribera del Duero,2015,4.5,154,Espana,Ribera del Duero,92.8,Ribera Del Duero Red,5.0,3.0
Marques de Grinon,Emeritvs (Emeritus),2013,4.5,147,Espana,Dominio de Valdepusa,48.9,Red,4.0,3.0
Vina Sastre,Regina Vides Ribera del Duero,2016,4.5,144,Espana,Ribera del Duero,70.55,Ribera Del Duero Red,5.0,3.0
Dominio del Aguila,Reserva,2018,4.5,141,Espana,Ribera del Duero,59.8,Ribera Del Duero Red,5.0,3.0
Sierra Cantabria,Amancio,2014,4.5,140,Espana,Rioja,75.0,Rioja Red,4.0,3.0
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2015,4.5,140,Espana,Ribera del Duero,57.0,Ribera Del Duero Red,5.0,3.0
Abadia Retuerta,Pago Garduna,2009,4.5,132,Espana,Castilla y Leon,73.6,Syrah,4.0,3.0
Bodegas Mas Alta,La Basseta,2013,4.5,132,Espana,Priorato,58.0,Priorat Red,4.0,3.0
Territorio Luthier,Territorio Luthier Reserva,2016,4.5,128,Espana,Ribera del Duero,54.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2018,4.5,128,Espana,Ribera del Duero,78.38,Ribera Del Duero Red,5.0,3.0
Costers del Siurana,Clos de L'Obac,2010,4.5,121,Espana,Priorato,81.3,Priorat Red,4.0,3.0
Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014,4.5,115,Espana,Ribera del Duero,54.9,Ribera Del Duero Red,5.0,3.0
Adama Wines,Tinto,2011,4.5,110,Espana,Ribera del Duero,39.0,Ribera Del Duero Red,5.0,3.0
Jesus Madrazo,Seleccion Rioja,2015,4.5,107,Espana,Rioja,67.1,Rioja Red,4.0,3.0
Bodegas Naluar & Acediano,Acediano,2015,4.5,104,Espana,Ribera del Duero,52.0,Ribera Del Duero Red,5.0,3.0
Marques de Caceres,Gaudium,2016,4.5,104,Espana,Rioja,34.9,Rioja Red,4.0,3.0
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017,4.5,103,Espana,Ribera del Duero,75.81,Ribera Del Duero Red,5.0,3.0
Sierra Cantabria,Finca el Bosque,2017,4.5,103,Espana,Rioja,84.36,Rioja Red,4.0,3.0
Trus,Pico de Luyas,2016,4.5,103,Espana,Ribera del Duero,47.95,Ribera Del Duero Red,5.0,3.0
Juan Gil,Bruto,2019,4.5,104,Espana,Jumilla,32.5,Monastrell,5.0,3.0
Quinta de la Quietud,La Mula de la Quietud,2016,4.5,99,Espana,Toro,62.0,Toro Red,5.0,3.0
Chivite,Navarra Coleccion 125 Blanco,2018,4.5,97,Espana,Navarra,49.1,Chardonnay,4.0,3.0
Marques de Murrieta,Dalmau Rioja,2015,4.5,97,Espana,Rioja,75.0,Rioja Red,4.0,3.0
Bodega Ribas,Ribas de Cabrera,2018,4.5,94,Espana,Mallorca,68.4059721390231,Red,4.0,3.0
Bodegas Naluar & Acediano,Acediano,2014,4.5,87,Espana,Ribera del Duero,74.0,Ribera Del Duero Red,5.0,3.0
Cervoles,Estrats,2009,4.5,81,Espana,Costers del Segre,59.82,Red,4.0,3.0
Diez Merito,Fino Imperial Amontillado 30 Anos,2011,4.5,81,Espana,Jerez Amontillado,94.9,Sherry,4.0,3.0
Sierra Cantabria,Finca el Bosque,2018,4.5,81,Espana,Rioja,85.95,Rioja Red,4.0,3.0
Emilio Moro,Malleolus de Valderramiro,2018,4.5,82,Espana,Ribera del Duero,85.55,Ribera Del Duero Red,5.0,3.0
Adama Wines,Tinto,2010,4.5,79,Espana,Ribera del Duero,35.0,Ribera Del Duero Red,5.0,3.0
Martinet,Cami Pesseroles,2014,4.5,78,Espana,Priorato,82.55,Priorat Red,4.0,3.0
Clos Mogador,Priorat,2019,4.5,76,Espana,Priorato,63.9,Priorat Red,4.0,3.0
Bodegas Mas Alta,La Basseta,2017,4.5,75,Espana,Priorato,58.95,Priorat Red,4.0,3.0
Penafiel,Mironia Black Edition Tempranillo,2015,4.5,73,Espana,Ribera del Duero,49.5,Ribera Del Duero Red,5.0,3.0
Costers del Siurana,Miserere,2010,4.5,74,Espana,Priorato,78.5,Priorat Red,4.0,3.0
Muga,Prado Enea Gran Reserva,2015,4.5,72,Espana,Rioja,56.95,Rioja Red,4.0,3.0
Tobia,Alma Tobia Rioja,2015,4.5,72,Espana,Rioja,40.0,Rioja Red,4.0,3.0
Mas Doix,Doix,2017,4.5,71,Espana,Priorato,79.9,Priorat Red,4.0,3.0
Sei Solo,Tinto,2012,4.5,70,Espana,Ribera del Duero,63.5,Ribera Del Duero Red,5.0,3.0
Miguel Merino,La Loma,2017,4.5,69,Espana,Rioja Alta,38.9,Rioja Red,4.0,3.0
Virgen de la Asuncion,El Canto del Angel,2014,4.5,66,Espana,Ribera del Duero,59.95,Ribera Del Duero Red,5.0,3.0
Remirez de Ganuza,Gran Reserva,2011,4.5,65,Espana,Rioja,88.5,Rioja Red,4.0,3.0
Allende,Calvario Rioja,2002,4.5,61,Espana,Rioja,95.0,Rioja Red,4.0,3.0
Hacienda Solano,Finca Cascorrales,2016,4.5,57,Espana,Ribera del Duero,64.3,Ribera Del Duero Red,5.0,3.0
Adama Wines,Tinto,2007,4.5,55,Espana,Ribera del Duero,32.0,Ribera Del Duero Red,5.0,3.0
Beronia,Rioja Gran Reserva,1994,4.5,54,Espana,Rioja,61.0,Rioja Red,4.0,3.0
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2014,4.5,53,Espana,Ribera del Duero,49.9,Ribera Del Duero Red,5.0,3.0
Enate,Reserva Especial,2006,4.5,53,Espana,Somontano,65.9,Red,4.0,3.0
Vina al Lado de la Casa,Altos de Las Gateras Monastrell,2013,4.5,51,Espana,Vino de Espana,58.19,Monastrell,5.0,3.0
Marques de la Concordia,Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja),2016,4.5,50,Espana,Rioja,35.5,Rioja Red,4.0,3.0
Carmelo Rodero,Ribera del Duero TSM,2006,4.5,48,Espana,Ribera del Duero,40.8333333333333,Ribera Del Duero Red,5.0,3.0
Valquejigoso,V2 Tinto,2009,4.5,49,Espana,Madrid,43.6838985,Red,4.0,3.0
Martinet,Cami Pesseroles,2016,4.5,46,Espana,Priorato,79.55,Priorat Red,4.0,3.0
Cal Pla,Planots Priorat,2013,4.5,46,Espana,Priorato,57.0,Priorat Red,4.0,3.0
Vizcarra,Celia,2011,4.5,44,Espana,Ribera del Duero,60.06,Ribera Del Duero Red,5.0,3.0
Legaris,Calmo,2014,4.5,43,Espana,Ribera del Duero,71.9,Ribera Del Duero Red,5.0,3.0
Marques de Murrieta,Dalmau Rioja,2000,4.5,42,Espana,Rioja,48.5,Rioja Red,4.0,3.0
Vinicola Real,Confesor Rioja,2004,4.5,42,Espana,Rioja,107.5,Rioja Red,4.0,3.0
Bodegas San Roman,Cartago Paraje de Pozo,2016,4.5,42,Espana,Toro,77.5,Toro Red,5.0,3.0
Clos d'Agon,Seleccion Especial,2015,4.5,40,Espana,Cataluna,93.51,Red,4.0,3.0
Sacristia AB,Saca Unica,2011,4.5,39,Espana,Jerez-Xeres-Sherry,96.38,Sherry,4.0,3.0
Huerta de Albala,Taberner No. 1,2011,4.5,38,Espana,Cadiz,75.0,Red,4.0,3.0
Uvaguilera Aguilera,Palomero,2010,4.5,38,Espana,Ribera del Duero,44.95,Ribera Del Duero Red,5.0,3.0
Ysios,Grano a Grano,2017,4.5,37,Espana,Rioja,75.0,Rioja Red,4.0,3.0
Castillo Perelada,Finca Garbet,2015,4.5,32,Espana,Emporda,89.9,Syrah,4.0,3.0
Vinicola Real,200 Monges Rioja Reserva Seleccion Especial,2006,4.5,32,Espana,Rioja,59.25,Rioja Red,4.0,3.0
El Regajal,Galia Clos Santuy,2016,4.5,32,Espana,Castilla y Leon,89.0,Red,4.0,3.0
Valderiz,Tomas Esteban,2011,4.5,32,Espana,Ribera del Duero,71.3,Ribera Del Duero Red,5.0,3.0
Scala Dei,St Antoni de Scala Dei Priorat,2017,4.5,30,Espana,Priorato,75.04,Priorat Red,4.0,3.0
Bodegas Valdelana,Seda de Oro Reserva,2016,4.5,29,Espana,Rioja,69.0,Rioja Red,4.0,3.0
Abel Mendoza Monge,Grano a Grano Graciano - Garnacha,2016,4.5,29,Espana,Rioja,55.14,Grenache,5.0,3.0
Tinto Pesquera,Reserva,1986,4.5,29,Espana,Ribera del Duero,90.0,Ribera Del Duero Red,5.0,3.0
Bodegas Amaren,Carraquintana de Amaren,2017,4.5,29,Espana,Rioja Alavesa,56.5,Rioja Red,4.0,3.0
Anayon,Garnacha Parcela 81 Vinas Viejas,2017,4.5,28,Espana,Carinena,54.9,Red,4.0,3.0
Sierra Salinas,Salinas 1237,2014,4.5,28,Espana,Alicante,53.25,Red,4.0,3.0
Bodegas Roda,Roda I Reserva Rioja,2009,4.4,2228,Espana,Rioja,43.5,Rioja Red,4.0,3.0
Alion,Ribera del Duero,2007,4.4,2053,Espana,Ribera del Duero,96.0,Ribera Del Duero Red,5.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2016,4.4,1993,Espana,Rioja,37.52,Rioja Red,4.0,3.0
Bodegas Roda,Roda I Reserva Rioja,2011,4.4,1949,Espana,Rioja,43.95,Rioja Red,4.0,3.0
Bodegas Roda,Roda I Reserva Rioja,2012,4.4,1853,Espana,Rioja,43.5,Rioja Red,4.0,3.0
Hacienda Monasterio,Cosecha,2018,4.4,1777,Espana,Ribera del Duero,32.5,Ribera Del Duero Red,5.0,3.0
Aalto,Tinto,2017,4.4,1561,Espana,Ribera del Duero,51.526827174062,Ribera Del Duero Red,5.0,3.0
Muga,Torre Muga,2006,4.4,1475,Espana,Rioja,66.73,Rioja Red,4.0,3.0
Bodegas Roda,Roda I Reserva Rioja,2015,4.4,1463,Espana,Rioja,39.95,Rioja Red,4.0,3.0
Matsu,El Viejo,2018,4.4,1438,Espana,Toro,32.01,Toro Red,5.0,3.0
Bodegas San Roman,Tinto,2017,4.4,1339,Espana,Toro,36.0,Toro Red,5.0,3.0
Marques de Vargas,Hacienda Pradolagar,2015,4.4,1326,Espana,Rioja,105.12,Rioja Red,4.0,3.0
Hacienda Monasterio,Cosecha,2017,4.4,1266,Espana,Ribera del Duero,33.31,Ribera Del Duero Red,5.0,3.0
Remirez de Ganuza,Rioja Reserva,2010,4.4,1255,Espana,Rioja,73.65,Rioja Red,4.0,3.0
Alto Moncayo,Garnacha,2016,4.4,1226,Espana,Campo de Borja,33.95,Grenache,5.0,3.0
Remirez de Ganuza,Rioja Reserva,2009,4.4,1172,Espana,Rioja,74.0,Rioja Red,4.0,3.0
Vinicola Real,200 Monges Rioja Reserva,2011,4.4,1098,Espana,Rioja,37.57,Rioja Red,4.0,3.0
Hacienda Monasterio,Reserva,2011,4.4,1048,Espana,Ribera del Duero,78.65,Ribera Del Duero Red,5.0,3.0
Bodegas Roda,Roda I Reserva Rioja,2016,4.4,1039,Espana,Rioja,35.9,Rioja Red,4.0,3.0
Pago de Los Capellanes,Reserva Tinto,2017,4.4,1040,Espana,Ribera del Duero,35.7,Ribera Del Duero Red,5.0,3.0
Aalto,Tinto,2019,4.4,1018,Espana,Ribera del Duero,33.0,Ribera Del Duero Red,5.0,3.0
Bodegas Tradicion,Palo Cortado Tradicion Vors 30 Years Sherry,2011,4.4,941,Espana,Jerez Palo Cortado,82.5,Sherry,4.0,3.0
Hacienda Monasterio,Reserva,2014,4.4,927,Espana,Ribera del Duero,109.9,Ribera Del Duero Red,5.0,3.0
Senorio de San Vicente,San Vicente Rioja,2011,4.4,925,Espana,Rioja,33.5,Rioja Red,4.0,3.0
Alto Moncayo,Garnacha,2018,4.4,915,Espana,Campo de Borja,38.95,Grenache,5.0,3.0
Volver,Triga,2016,4.4,852,Espana,Alicante,34.9,Red,4.0,3.0
Marques de Caceres,Gaudium,2014,4.4,827,Espana,Rioja,37.8,Rioja Red,4.0,3.0
Bodegas Tradicion,Amontillado Tradicion Vors 30 Years,2011,4.4,825,Espana,Jerez Amontillado,59.9,Sherry,4.0,3.0
Teso La Monja,Victorino,2016,4.4,812,Espana,Toro,38.7,Toro Red,5.0,3.0
Clos Mogador,Priorat,2011,4.4,809,Espana,Priorato,90.0,Priorat Red,4.0,3.0
Clos Mogador,Priorat,2010,4.4,799,Espana,Priorato,69.79,Priorat Red,4.0,3.0
Lan,Culmen Reserva Rioja,2011,4.4,798,Espana,Rioja,59.9,Rioja Red,4.0,3.0
Bodegas Roda,Roda I Reserva Rioja,2005,4.4,783,Espana,Rioja,93.0,Rioja Red,4.0,3.0
Dominio del Aguila,Reserva,2016,4.4,778,Espana,Ribera del Duero,73.57,Ribera Del Duero Red,5.0,3.0
Marques de Vargas,Reserva Privada Rioja,2015,4.4,746,Espana,Rioja,49.67,Rioja Red,4.0,3.0
Clos Mogador,Priorat,2012,4.4,695,Espana,Priorato,90.0,Priorat Red,4.0,3.0
Marques de Riscal,Baron de Chirel Rioja Reserva,2015,4.4,683,Espana,Rioja,69.95,Rioja Red,4.0,3.0
Alvaro Palacios,Finca Dofi,2016,4.4,639,Espana,Priorato,52.5,Priorat Red,4.0,3.0
Clos Mogador,Priorat,2007,4.4,624,Espana,Priorato,95.0,Priorat Red,4.0,3.0
Ausas,Interpretacion,2016,4.4,618,Espana,Ribera del Duero,45.15,Ribera Del Duero Red,5.0,3.0
Muga,Torre Muga,2015,4.4,617,Espana,Rioja,58.2142247461506,Rioja Red,4.0,3.0
Senorio de San Vicente,San Vicente Rioja,2016,4.4,609,Espana,Rioja,42.7,Rioja Red,4.0,3.0
Ferrer Bobet,Priorat Vinyes Velles,2017,4.4,575,Espana,Priorato,32.65,Priorat Red,4.0,3.0
Marques de Caceres,Gaudium,2015,4.4,561,Espana,Rioja,43.86,Rioja Red,4.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2017,4.4,560,Espana,Rioja,36.9,Rioja Red,4.0,3.0
Remirez de Ganuza,Rioja Reserva,2013,4.4,550,Espana,Rioja,54.83,Rioja Red,4.0,3.0
Marques de Murrieta,Dalmau Rioja,2016,4.4,550,Espana,Rioja,55.33,Rioja Red,4.0,3.0
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2014,4.4,351,Espana,Ribera del Duero,49.9,Ribera Del Duero Red,5.0,3.0
Vinicola Real,200 Monges Rioja Gran Reserva,2001,4.4,349,Espana,Rioja,52.0,Rioja Red,4.0,3.0
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2011,4.4,343,Espana,Rioja,90.0,Rioja Red,4.0,3.0
Bosque de Matasnos,Edicion Limitada,2015,4.4,328,Espana,Ribera del Duero,32.5811870756681,Ribera Del Duero Red,5.0,3.0
Altanza,Lealtanza Coleccion de Artistas Espanoles Sorolla,2010,4.4,316,Espana,Rioja,34.9,Rioja Red,4.0,3.0
Remelluri,Granja Gran Reserva Rioja,2011,4.4,313,Espana,Rioja,43.9,Rioja Red,4.0,3.0
Perinet,Priorat,2016,4.4,309,Espana,Priorato,65.0,Priorat Red,4.0,3.0
Costers del Siurana,Miserere,2005,4.4,296,Espana,Priorato,92.8716274104906,Priorat Red,4.0,3.0
Martinet,Clos Martinet,2015,4.4,296,Espana,Priorato,65.4,Priorat Red,4.0,3.0
Valquejigoso,V2 Tinto,2008,4.4,293,Espana,Madrid,45.890156,Red,4.0,3.0
Castillo de Cuzcurrita,Cerrado del Castillo Rioja,2015,4.4,269,Espana,Rioja,47.5,Rioja Red,4.0,3.0
Contino,Rioja Gran Reserva,2016,4.4,267,Espana,Rioja,40.45,Rioja Red,4.0,3.0
Vinedos de Paganos,El Puntido Gran Reserva,2007,4.4,267,Espana,Rioja,49.65,Rioja Red,4.0,3.0
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2016,4.4,252,Espana,Rioja,67.9,Rioja Red,4.0,3.0
Martinet,Clos Martinet,2011,4.4,249,Espana,Priorato,75.92,Priorat Red,4.0,3.0
La Vicalanda,Gran Reserva,2010,4.4,239,Espana,Rioja,59.25,Rioja Red,4.0,3.0
